num_pellets 175
pacman_home (10 * 16, 15 * 16)
ghost_home [(17 * 16, 7 * 16), (16 * 16, 9 * 16), (17 * 16, 9 * 16), (18 * 16, 9 * 16)]
level_dim (21, 23)
color_edge (0, 0, 255, 255)
color_fill (0, 0, 0, 255)
color_shadow (0, 0, 128, 255)
color_pellet (255, 255, 255, 255)
0	0	0	0	0	0	0	0	113	21	113	21	113	0	0	0	0	0	0	0	0	
0	0	0	107	100	100	100	100	106	0	110	0	105	100	100	100	100	108	0	0	0	
0	0	0	101	2	2	2	2	2	2	2	2	2	2	2	2	2	101	0	0	0	
0	107	100	106	2	113	2	120	2	111	133	112	2	120	0	113	2	105	100	108	0	
0	101	2	2	2	101	2	2	2	2	101	2	2	2	0	110	2	0	0	101	0	
0	101	2	107	100	106	0	111	112	0	110	2	111	112	2	2	2	113	0	101	0	
107	106	2	110	2	2	2	0	2	2	2	2	0	0	2	120	3	110	0	105	108	
101	2	2	2	2	113	2	113	2	113	2	111	100	108	2	0	0	0	0	0	101	
101	2	107	100	100	106	2	110	2	101	2	2	2	101	2	107	112	1	111	133	106	
101	2	110	2	2	2	2	0	2	105	100	112	2	110	2	101	0	0	0	101	0	
101	2	0	3	120	2	111	108	2	2	2	2	2	2	2	105	100	100	100	130	108	
101	2	113	2	2	2	2	105	100	108	2	107	100	112	2	2	2	2	2	2	101	
101	2	105	100	100	108	2	2	2	101	2	101	2	2	2	107	100	100	112	2	101	
101	2	0	0	0	105	100	112	2	110	2	110	2	111	100	106	2	2	2	2	101	
101	2	111	108	2	2	2	2	2	2	2	2	2	2	2	2	2	107	112	2	101	
101	2	2	110	2	111	100	112	2	120	0	111	100	112	2	120	2	110	2	2	101	
105	108	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	107	106	
0	101	2	111	112	0	107	100	112	2	113	0	111	100	108	2	111	112	2	101	0	
0	101	2	2	2	3	101	2	2	2	101	0	0	0	101	2	2	2	2	101	0	
0	105	100	108	2	111	106	2	111	100	130	100	112	0	105	112	2	107	100	106	0	
0	0	0	101	2	2	2	2	2	2	2	2	2	2	2	2	2	101	0	0	0	
0	0	0	105	100	100	100	100	108	0	113	0	107	100	100	100	100	106	0	0	0	
0	0	0	0	0	0	0	0	110	21	110	21	110	0	0	0	0	0	0	0	0
