num_pellets 185
pacman_home (10 * 16, 13 * 16)
ghost_home [(10 * 16, 9 * 16), (9 * 16, 11 * 16), (10 * 16, 11 * 16), (11 * 16, 11 * 16)]
level_dim (21, 23)
color_edge (0, 0, 255, 255)
color_fill (0, 0, 0, 255)
color_shadow (0, 0, 128, 255)
color_pellet (255, 255, 255, 255)
107	100	100	100	133	100	100	100	100	100	100	100	100	100	100	100	133	100	100	100	108	
101	2	2	2	101	2	2	2	2	2	2	2	2	2	2	2	101	2	2	2	101	
101	3	120	2	110	2	113	2	111	100	100	100	112	2	113	2	110	2	120	3	101	
101	2	2	2	2	2	101	2	2	2	2	2	2	2	101	2	2	2	2	2	101	
131	100	112	2	120	2	105	100	100	100	133	100	100	100	106	2	120	2	111	100	132	
101	2	2	2	0	2	2	2	2	2	101	2	2	2	2	2	0	2	2	2	101	
101	2	111	100	112	2	107	100	112	2	110	2	111	100	108	2	111	100	112	2	101	
101	2	0	2	2	2	110	2	2	2	2	2	2	2	110	2	2	2	0	2	101	
105	100	108	2	120	2	0	0	111	100	100	100	112	0	0	2	120	2	107	100	106	
0	0	101	2	2	2	113	0	0	0	0	0	0	0	113	2	2	2	101	0	0	
0	0	105	100	108	2	101	0	107	112	1	111	108	0	101	2	107	100	106	0	0	
0	0	0	0	101	2	101	0	101	0	0	0	101	0	101	2	101	0	0	0	0	
111	100	100	100	106	2	110	0	105	100	100	100	106	0	110	2	105	100	100	100	112	
20	0	0	0	0	2	2	2	2	2	0	2	2	2	2	2	0	0	0	0	20	
111	100	100	100	108	2	113	2	111	100	100	100	112	2	113	2	107	100	100	100	112	
0	0	0	0	101	2	101	2	2	2	0	2	2	2	101	2	101	0	0	0	0	
0	0	107	100	106	2	131	100	112	2	113	2	111	100	132	2	105	100	108	0	0	
0	0	101	2	2	2	101	2	2	2	101	2	2	2	101	2	2	2	101	0	0	
107	100	106	2	120	2	101	2	111	100	130	100	112	2	101	2	120	2	105	100	108	
101	2	2	2	2	2	101	2	2	2	2	2	2	2	101	2	2	2	2	2	101	
101	3	120	2	113	2	105	100	112	2	120	2	111	100	106	2	113	2	120	3	101	
101	2	2	2	101	2	2	2	2	2	2	2	2	2	2	2	101	2	2	2	101	
105	100	100	100	130	100	100	100	100	100	100	100	100	100	100	100	130	100	100	100	106
